Sr_No,Date,Startup_Name,Industry_Vertical,SubVertical,City,Investors_Name,InvestmentnType,Amount_in_USD,Remarks,
1035,22/02/2017,Vebbler,Consumer Internet,Photo Sharing for Groups,Bangalore,Facebook FBStart,Seed Funding,40000,nan,
1036,23/02/2017,Get My Parking,Consumer Internet,Smart Parking Platform,New Delhi,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",Private Equity,"11,00,000",nan,
1037,23/02/2017,Lets Reap,Consumer Internet,B2B Mobile App for Pharmacies,Mumbai,"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal",Seed Funding,N/A,nan,
1038,24/02/2017,Oglas,Consumer Internet,Mobile Advertising App,Noida,"Pankaj Rungta, Yogesh Agarwal",Seed Funding,N/A,nan,
1039,27/02/2017,Staydobe,Consumer Internet,Co-Living Spaces Aggregator,Bangalore,Ishan Manaktala,Seed Funding,N/A,nan,
1040,27/02/2017,Biryani By Kilo,Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",Seed Funding,"3,75,000",nan,
1042,28/02/2017,NeoStencil,Consumer Internet,Live Online Coaching Classes,New Delhi,"Brand Capital, Paragon Trust",Private Equity,"10,00,000",nan,
1044,02/01/2017,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,"3,66,000",nan,
1047,03/01/2017,Vow Car Clinic,Consumer Internet,Online/App Based Car cleaning service provider,Gurgaon,Vishal Malik,Seed Funding,N/A,nan,
1049,05/01/2017,MobiDent,Consumer Internet,Dentist Appointments booking platform,Bangalore,DanGold Investment Corp,Private Equity,N/A,nan,
1052,07/01/2017,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,"5,70,00,000",nan,
1053,09/01/2017,TicketNew,Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,"3,50,00,000",nan,
1056,10/01/2017,Loan Frame,Consumer Internet,Small Business Loans Marketplace platform,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,"22,50,000",nan,
1057,10/01/2017,DriveSkool,Consumer Internet,online marketplace for driving schools,Bangalore,Aavya Ventures,Seed Funding,N/A,nan,
1058,10/01/2017,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,"1,00,000",nan,
1060,11/01/2017,InstaOffice,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Zishaan Hayath, Karan Chellani, Mohit Satyan",Seed Funding,N/A,nan,
1061,12/01/2017,Hansel.io,Consumer Internet,Real-time Mobile App Management Platform,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,"13,50,000",nan,
1062,12/01/2017,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,"1,00,00,000",nan,
1064,13/01/2017,PaisaWapas,Consumer Internet,Cashback & Coupons platform,Bangalore,Vividhity Ventures,Seed Funding,N/A,nan,
1065,13/01/2017,iService,Consumer Internet,Gadgets Repair & Service Booking platform,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed Funding,"4,40,000",nan,
1066,14/01/2017,Unacademy,Consumer Internet,Online learning platform,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,"45,00,000",nan,
1068,16/01/2017,Leadburg,Consumer Internet,Personality Development Mobile App,Bangalore,"Harsh V. Pant, Ratheesh Raveendran",Seed Funding,N/A,nan,
1069,16/01/2017,ZoloStays,Consumer Internet,Branded PG Accomodation booking platform,Bangalore,"Nexus Venture Partners, Innoven Capital",Private Equity,"50,00,000",nan,
1071,16/01/2017,HipCouch,Consumer Internet,Custom & Modular Furniture platform,Mumbai,Undisclosed Investors,Seed Funding,"7,00,000",nan,
1072,17/01/2017,Curiositi,Consumer Internet,Online Learning Platform,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,"8,00,000",nan,
1073,17/01/2017,TinyStep,Consumer Internet,Parenting Info & Social Network,Bangalore,Flipkart,Private Equity,"20,00,000",nan,
1074,17/01/2017,Practo,Consumer Internet,Online Healthcare platform,Bangalore,"Tencent,\xc2\xa0 ru-Net, RSI Fund, Thrive Capital",Private Equity,"5,50,00,000",nan,
1075,17/01/2017,Ketchupp,Consumer Internet,Food Discovery Platform,New Delhi,India Quotient and others,Seed Funding,"4,41,000",nan,
1076,17/01/2017,Hoopy,Consumer Internet,Online Car Service Platform,Gwalior,undisclosed investors,Seed Funding,"5,00,000",nan,
1077,17/01/2017,Ezytruk,Consumer Internet,Logistics and truck aggregator platform,Bangalore,"Ajith Nair, Anish K",Seed Funding,"1,47,000",nan,
1082,19/01/2017,PParke,Consumer Internet,Parking Solutions mobile app,Bangalore,SB Ventures,Seed Funding,N/A,nan,
1083,19/01/2017,Weddingz.in,Consumer Internet,Online Marketplace for Wedding Venues and vendors,Mumbai,Singularity Ventures,Private Equity,"10,00,000",nan,
1085,19/01/2017,Fitnapp,Consumer Internet,Fitness Mobile App,Noida,SD Group,Private Equity,N/A,nan,
1090,22/01/2017,MessaGif,Consumer Internet,social messaging platform,New Delhi,Undisclosed investor,Seed Funding,50000,nan,
1095,24/01/2017,SelectJobs,Consumer Internet,Online Job portal,Mumbai,India Educational Investment Fund,Seed Funding,N/A,nan,
1096,24/01/2017,Khel Now,Consumer Internet,Mobile-based Social Platform for Sports,Bangalore,Indochine International,Private Equity,"5,00,000",nan,
1097,24/01/2017,NowFloats,Consumer Internet,Platform to take businesses online,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,"1,00,00,000",nan,
1098,24/01/2017,Lets Transport,Consumer Internet,Online transport vehicle booking platform,Bangalore,"GMO Japan, Neelesh Bhatnagar",Private Equity,"40,00,000",nan,
